Item,Description,U/M
IW578,"Vanilla, 1 gallon",bottle (/ btl)
IW579,"Conjac, 750ml/bottle",bottle (/ btl)
IW580,"Cheery Brandy, Monarch  375ml/bottle",bottle (/ btl)
IW583,Color - Leaf Green (9.0oz),each (ea)
IW584,Vitacel Sugarcane SF601 (40#/bag),/ Bag (/bg)
IW585,Fudge Brownie Mix (50#/bag),/ Bag (/bg)
IW588,Liquid Maltitol - Maltidex (600#/drum),Drum (Drum)
IW589,Salt (50#/Bag),/ Bag (/bg)
M001,Brown paper towels 6/cs,/ case (/cs)
M002,"Hand Soap 1 gallon, Pink Lotion..MFG# BCS-PLHS-1",1 gallon (1 Gal.)
M003,Bleach,1 gallon (1 Gal.)
M004,"White Hair Net 21"" (1000/cs)",per box (/ box)
M005,"White Hair Net 24"" (1000/cs)",per box (/ box)
M006,Toilet Paper,/ case (/cs)
M007,Vinyl Glove XL,/ case (/cs)
M008,Vinyl Glove XL,/ case (/cs)
P2001,Die / Plates / Setup,
PC2003,9in Cake Pad,each (ea)
PC2511,7in Master Box (16 3/4 X 8 1/4 X 8 1/4),each (ea)
PC2514,3in Master Box 12 pack (10 1/2 X 7 X 4),each (ea)
PC2518,1/2 Sheet Master (17 1/4 X 12 1/4 X 4 3/4),each (ea)
PC2523,Airliner 2 (L 22 X W 15 1/2 X H 11 1/2),each (ea)
PC2558,Loaf Box Divider - Fruit Cake Loaf,each (ea)
PC2560,3in Sample Box (diecut 7 X 4 X4),each (ea)
PC2564,7in Divider,/ M (/ M)
PC2570,"9in Cake Box (White EC26E, 9.25 X 9.25 X 3) Chuckanut Bay Foods logo print",each (ea)
PC2571,8 Pack Tray (7 1/8 X 7 1/8 X 2 1/4) Lithoprint,each (ea)
PC2572,8 Pack Tray MASTER BOX (15 3/8 X 14 3/4 X 11 3/4) No print,each (ea)
PC2573,7 Inch Cold Pack Shipper (11 7/8 X 11 7/8 X 5 3/4),each (ea)
PC2575,Tiramisu Tray & Lid,each (ea)
PC2581,3in Master Box 6 pack (10 1/2 X 7 X 2.125),each (ea)
PC2582,3in Master Box Pad (10 7/8 X 10) with score,each (ea)
PC2583,3in X 2 Sample Box (Die cut mailer box),each (ea)
PC2588,8 Pack Tray MASTER BOX 6/case (15 3/8 X 7 5/8 X 11 3/4),each (ea)
PC2592,8 Pack Tray (7 1/8 X 7 1/8 X 2 1/4) Lithoprint - NY/CT/PU/COW - COSTCO - UPC 2369,each (ea)
PC2593,"8 Pack Tray MASTER BOX 6/case (14 5/8 X 11 1/2 X 7 1/2), Reverse Flute, 1 color",each (ea)
PC2594,"8 Pack Tray MASTER BOX 6/case (14 1/4 X 7 1/4 X 13 1/2), 1 color",each (ea)
PC2595,COSTCO 8pk Box (13 13/16 X 7 X 2 1/8) - UPC 23740,each (ea)
PC2598,Heart 6-pack Box (12 7/8 X 7 X 4 3/16),each (ea)
PC2599,8 Pack Tray (7 1/8 X 7 1/8 X 2 1/4) Lithoprint (NY/VB)- COSTCO - UPC 2375,each (ea)
PC2600,"7"" Cake Box, Die Cut, White, 24 pt",each (ea)
PC2601,"9"" Cake Box, Die Cut, White, No Print",each (ea)
PC2602,8 Pack Tray (7 1/8 X 7 1/8 X 2 1/4) No Print,each (ea)
PC2603,CB0775 Stock Box (24 x 12 x 6) ..,each (ea)
PC2604,CB0030 Stock Box (8 X 8 x 6) ....,each (ea)
PC2605,CB0072 Direct Ship Box,each (ea)
PD2560,Plain Master Box (PN34),/ case (/cs)
PD2561,Styro Box (SB3),/ case (/cs)
PD2562,Styro Lid (SB3),/ case (/cs)
PD2563,Master Carton (SB3),/ case (/cs)
PD2564,Gel Ice Pack (1lb) (36/case),/ case (/cs)
PD2599,Tyro & Lid (PN34),/ case (/cs)
PD2600,8X11 Thermal Bubble Envelope (100/cs),/ case (/cs)
PD2601,11 X 15 Thermal Bubble Envelope (50/cs),/ case (/cs)
PL2005,1.75in Oval Small Chuckanut Bay Label,
PL2008,"3in Single Serve Top Label (2,000 per roll)",/ M (/ M)
PL2016,Printer Ribbon - 6.5in,/ roll (/ rl)
PL2023,Printer Ribbon - 3in,/ roll (/ rl)
PL2024,Printer Ribbon - 4in,/ roll (/ rl)
PL2025,7in Label Set,each (ea)
PL2026,3in Bottom Label,
PL2027,Blank Label for 8-pack,
PL2028,Case Label 4in X 5in Direct Thermal (600/roll),/ roll (/ rl)
PL2585,5in Blank Circle Label (1000/roll),each (ea)
PL2589,Mini Fruitcake Label 1-color,each (ea)
PL2596,5in Heart Label Set,each (ea)
PL2599,3in Top Label CDN,each (ea)
PL2600,3in Bottom Label CDN,each (ea)
PL2601,"Clear Circle Label, 1.5"", Perm Adhesive",each (ea)
PL2602,Mini Fruitcake Label - full color,each (ea)
PL2603,Fruitcake Wreath Label - full color,each (ea)
PP2506,Stone #4507 Base - BLACK  1000 units / case,/ case (/cs)
PP2507,Stone #4055 Dome Clear  1000 units / case,/ case (/cs)
PP2512,6in Ring Base Black 200/case,/ case (/cs)
PP2513,6in Dome Plain 2.65in DP 200/case,/ case (/cs)
PP2556,"7in Plain Dome, 2.125in 200/case",/ case (/cs)
PP2557,"7in undersize base, black 200/case",/ case (/cs)
PP2561,8X8 CPR Dual Ovenable Base (240/cs),/ case (/cs)
PP2562,8X8 CPL After Bake Fit Lid (240/cs),/ case (/cs)
PP2590,5in Heart Package (lid and base),each (ea)
PS2010,6 7/8in 20 PT C1S Cake Circle,each (ea)
PS2011,6 7/8in Cake Circle 35-817 non stick sheet liner,each (ea)
PS2017,Bakeable Tray - Wreath (540/cs),/ case (/ cs)
PS2018,Bakeable Tray - Loaf (1000/cs),/ case (/ cs)
PS2019,Bakeable Tray - Mini Tray (1350/cs),/ case (/ cs)
PS2020,Tulip Cups 160 X 160 Brown (1440/cs),/ case (/ cs)
PS2021,Tulip Cups 160 X 160 White (1440/cs),/ case (/ cs)
PS2022,9 Cell (3in x3in) Partition,
PS2515,1/2 Bake 'n Ship Black (100/cs),/ case (/cs)
PS2516,1/4 Bake 'n Ship Black (100/cs),/ case (/cs)
PS2519,Tape Tek Seal 2in X 110 yd,/ roll (/ rl)
PS2520,Corner Boards (2in X 48in),each (ea)
PS2521,"Bag, Bubble Shipper #1 7.25X12 (100/cs)",/ case (/cs)
PS2552,9in Cheesecake Band..Carolina 0.024 C1S Cut to 2 3/4in x 30in,each (ea)
PS2559,Wrap Plastic (18X1500X16.6mic),/ roll (/ rl)
PS2563,"25in X 30in News Print, 50#/bdl",Bundle (/bdl)
PS2565,Cake Box - White 14X10X4,/ case (/cs)
PS2566,"Shrink Film, 20in, 75 gauge, FOOD GRADE, pre-perforated",/ roll (/ rl)
PS2567,"Shrink Film, 16in, 60 gauge, FOOD GRADE, pre-perforated",/ roll (/ rl)
PS2568,"Shrink Film, 12in, 60 gauge, FOOD GRADE, pre-perforated",/ roll (/ rl)
PS2569,Stretch Film 17.25X1500 36GA  (4rl/cs),/ case (/cs)
PS2574,7in Cold Shipper Syro Liner,each (ea)
PS2579,16 Cell Assembled Partion (12.125 X 3.03 X 2.97,per box (/ box)
PS2580,3in High Profile Pad (12 X 12),per box (/ box)
PS2586,Tiramisu Pad,each (ea)
PS2587,15 Cell Divider (High Profile 3in),each (ea)
PS2591,"Cake Slicer Divider Inserts 45 X 40 (22,000/cs)",/ case (/cs)
PS2597,7.25 Foam Cake Circle,/ case (/cs)
PS2598,Tape Dispenser Gun,/ case (/cs)
PS2599,7in Cheesecake Band..Carolina 0.024 C1S Cut to 2 1/8in x 23in,each (ea)
PS2601,CHEP Pallets - Block - COSTCO certified,each (ea)
PS2602,"Pallet Liner (40"" X 48"")",each (ea)
PS2603,"Heart Cheesecake Band..Carolina 0.024 C1S Cut to 15.75"" X 1.5""",each (ea)
